Jogador,MINS,PTS,FGA,FTA,DR,OR,AST,TO,STL,BLK,PF,FPG,FPM,Contract,Duration
Devin Vassell,18.17,5.83,4.91,0.83,2.65,0.61,1.09,0.48,1.22,0.30,1.30,8.52,0.47," $3,000,000","4 anos
8.52FPG "
Reggie Bullock,27.45,8.85,8.25,0.60,3.35,0.30,1.20,0.80,0.80,0.25,2.35,8.52,0.31,0,0
Deni Avdija,23.47,6.67,5.93,0.67,4.07,0.33,1.67,0.67,1.07,0.27,2.67,8.49,0.36," $4,000,000","4 anos
8.49FPG "
Jaylen Nowell,17.10,11.50,8.70,1.80,1.30,0.70,0.80,0.80,0.40,0.20,1.50,8.44,0.49," $1,000,000","1 anos
8.44FPG "
Nerlens Noel,17.50,3.40,2.65,0.95,3.65,1.50,0.40,1.00,0.90,1.85,1.80,8.43,0.48," $3,000,000","1 anos
8.43FPG "
Cameron Payne,17.54,6.62,5.54,0.69,2.00,0.15,3.92,1.23,0.62,0.23,2.15,8.37,0.48," $3,000,000","1 anos
8.37FPG "
Damion Lee,19.08,6.46,4.63,0.83,3.04,0.50,1.42,0.38,0.63,0.04,1.67,8.37,0.44," $1,000,000","1 anos
8.37FPG "
Garrett Temple,26.45,8.41,7.59,1.14,2.41,0.55,1.91,1.14,1.05,0.45,2.36,8.36,0.32," $1,000,000","1 anos
8.36FPG "
Willy Hernangomez,14.14,4.29,3.57,1.43,3.00,1.71,1.00,0.43,0.57,0.43,1.00,8.36,0.59," $10,000,000","1 anos
8.36FPG "
Talen Horton-Tucker,17.24,7.38,6.24,1.05,2.24,0.43,1.76,1.24,1.00,0.48,2.00,8.35,0.48, $0,"1 anos
8.35FPG "
Bruce Brown,18.43,6.33,4.67,0.95,3.14,1.14,1.00,0.86,0.43,0.38,1.86,8.34,0.45," $1,000,000","2 anos
8.34FPG "
Dwayne Bacon,23.71,9.79,9.17,1.71,2.75,0.38,0.92,0.63,0.67,0.08,1.67,8.30,0.35," $3,500,000","3 anos
8.30FPG "
Jarrett Culver,21.75,8.13,6.94,2.06,3.44,1.56,0.94,1.31,0.69,0.38,2.38,8.28,0.38," $4,500,000","3 anos
8.28FPG "
Jordan McLaughlin,18.00,5.25,5.08,0.58,1.50,0.58,4.25,1.00,0.58,0.17,0.75,8.21,0.46," $1,000,000","1 anos
8.21FPG "
Furkan Korkmaz,20.15,8.38,7.69,0.85,2.08,0.31,0.85,0.92,0.77,0.15,1.00,8.16,0.40," $1,000,000","1 anos
8.16FPG "
Marc Gasol,19.52,3.68,3.16,0.96,3.44,0.84,1.96,0.92,0.44,1.24,2.32,8.16,0.42," $10,000,000","1 anos
8.16FPG "
Abdel Nader,18.11,8.33,6.22,2.00,3.00,0.00,1.22,0.89,0.33,0.11,1.33,7.91,0.44," $1,000,000","1 anos
7.91FPG "
Damyean Dotson,21.50,7.95,7.20,1.10,1.45,0.10,2.40,0.85,0.50,0.15,1.00,7.82,0.36," $1,000,000","1 anos
7.82FPG "
Danilo Gallinari,17.36,10.27,6.64,3.09,2.27,0.27,1.18,1.45,0.09,0.09,1.64,7.80,0.45," $9,500,000","1 anos
7.80FPG "
Austin Rivers,22.95,8.05,7.11,0.63,2.21,0.26,2.21,1.11,0.63,0.00,1.63,7.79,0.34," $1,000,000","1 anos
7.79FPG "
Malik Monk,18.60,9.90,7.00,1.40,1.10,0.30,1.60,1.00,0.20,0.00,1.00,7.78,0.42," $3,500,000","1 anos
7.78FPG "
Garrison Mathews,18.75,8.25,5.33,2.42,1.33,0.58,0.67,0.17,1.17,0.08,1.83,7.73,0.41," $5,000,000","1 anos
7.73FPG "
Precious Achiuwa,15.83,6.87,4.52,2.74,2.87,1.48,0.70,1.13,0.43,0.57,2.04,7.67,0.48," $2,500,000","4 anos
7.67FPG "
James Johnson,18.57,6.39,5.35,1.04,2.65,0.48,1.61,1.09,0.87,0.83,2.09,7.66,0.41," $3,500,000","1 anos
7.66FPG "
D.J. Augustin,17.43,6.04,5.04,1.17,0.87,0.43,2.83,0.91,0.48,0.00,0.61,7.64,0.44," $2,000,000","4 anos
7.64FPG "
Michael Carter-Williams,23.29,5.14,6.29,0.86,3.00,2.14,1.71,1.29,0.57,0.57,2.71,7.64,0.33," $2,000,000","1 anos
7.64FPG "
Isaiah Stewart,17.76,5.00,4.29,1.19,2.81,2.71,0.67,0.76,0.43,0.86,2.67,7.54,0.42," $2,000,000","4 anos
7.54FPG "
Daniel Gafford,15.05,5.33,3.14,1.57,1.95,1.48,0.62,0.57,0.52,1.19,2.05,7.52,0.50," $1,000,000","3 anos
7.52FPG "
Chuma Okeke,18.88,3.88,3.50,0.75,1.88,1.00,1.88,0.63,0.63,0.38,0.75,7.51,0.40," $1,500,000","3 anos
7.51FPG "
Raul Neto,17.93,7.93,6.80,0.60,1.20,0.53,1.73,0.73,0.93,0.07,1.27,7.51,0.42," $1,000,000","1 anos
7.51FPG "
Willie Cauley Stein,17.61,5.70,3.74,1.65,3.26,1.30,0.78,0.61,0.35,0.74,2.57,7.48,0.42," $7,000,000","3 anos
7.48FPG "
Alex Caruso,19.00,5.53,4.47,0.42,1.79,0.58,2.05,1.26,1.05,0.16,1.53,7.42,0.39," $1,000,000","1 anos
7.42FPG "
Theo Maledon,22.81,7.52,6.95,0.90,2.38,0.24,2.86,1.81,0.95,0.05,2.14,7.40,0.32, $0,"2 anos
7.40FPG "
Caleb Martin,15.30,5.80,5.05,1.05,1.85,0.80,1.40,0.70,0.75,0.35,1.05,7.36,0.48," $1,000,000","4 anos
7.36FPG "
Kevon Looney,15.00,3.67,2.52,0.62,2.62,1.52,1.76,0.62,0.33,0.29,1.76,7.30,0.49," $3,000,000","3 anos
7.30FPG "
Trey Burke,18.83,8.79,7.25,1.13,1.04,0.17,1.63,0.63,0.83,0.08,1.67,7.28,0.39," $1,000,000","3 anos
7.28FPG "
Anfernee Simons,16.22,8.39,7.28,0.78,1.94,0.22,1.11,0.67,0.22,0.28,1.39,7.26,0.45," $1,000,000","3 anos
7.26FPG "
Frank Mason,21.50,7.00,7.00,2.00,2.00,0.50,4.00,1.00,0.00,0.00,2.50,7.20,0.33,0,0
Kent Bazemore,15.86,5.95,4.23,0.95,2.55,0.45,1.68,1.14,0.82,0.50,2.14,7.17,0.45," $2,000,000","2 anos
7.17FPG "
Jordan Bell,16.67,3.33,5.00,0.00,3.67,1.67,1.67,1.00,0.33,1.00,1.33,7.10,0.43," $1,500,000","3 anos
7.10FPG "
Dwight Powell,18.40,5.33,3.00,3.00,2.67,1.33,1.07,0.73,0.87,0.40,2.60,7.06,0.38," $5,500,000","3 anos
7.06FPG "
Aron Baynes,18.52,5.38,5.76,0.29,4.00,1.43,0.81,0.76,0.29,0.38,2.52,7.05,0.38," $2,000,000","2 anos
7.05FPG "
Timothe Luwawu-Cabarrot,19.68,7.56,6.92,0.80,1.68,0.52,1.32,0.72,0.64,0.16,1.64,7.05,0.36," $6,000,000","1 anos
7.05FPG "
Kenrich Williams,15.61,4.83,3.83,0.70,1.91,1.39,1.22,0.52,0.61,0.22,1.39,7.00,0.45,0,0
Alex Len,14.53,5.80,3.33,2.13,2.60,0.67,1.07,1.20,0.47,1.00,1.93,6.89,0.47," $1,500,000","1 anos
6.89FPG "
Jeff Teague,18.25,5.95,6.05,1.50,1.45,0.30,2.20,1.00,1.10,0.15,1.00,6.88,0.38," $11,000,000","1 anos
6.88FPG "
P.J. Tucker,30.70,4.65,4.13,0.65,3.74,0.83,1.39,1.04,0.91,0.61,3.00,6.83,0.22," $1,000,000","2 anos
6.83FPG "
Isaac Okoro,34.15,7.85,6.95,2.15,1.50,0.85,1.85,1.30,1.15,0.40,2.65,6.82,0.20," $3,500,000","4 anos
6.82FPG "
Rajon Rondo,15.43,3.36,3.93,0.14,2.00,0.29,3.86,1.36,0.64,0.07,0.93,6.79,0.44," $5,000,000","2 anos
6.79FPG "
Bryn Forbes,17.21,9.08,6.79,0.71,0.96,0.21,0.54,0.67,0.25,0.00,1.17,6.76,0.39," $1,000,000","4 anos
6.76FPG "
Nemanja Bjelica,15.70,6.60,5.10,2.30,2.60,1.00,1.90,1.20,0.00,0.20,2.00,6.73,0.43," $1,000,000","1 anos
6.73FPG "
Dylan Windler,16.67,5.17,3.67,0.92,2.58,0.42,0.92,1.08,0.75,0.50,1.00,6.63,0.40, $0,"1 anos
6.63FPG "
Saddiq Bey,18.90,7.48,6.67,1.62,2.81,0.33,0.67,0.76,0.48,0.05,1.29,6.41,0.34," $2,500,000","4 anos
6.41FPG "
James Ennis III,20.41,6.00,4.53,1.24,2.35,0.94,1.24,0.94,0.82,0.29,2.18,6.41,0.31,0,0
Moritz Wagner,13.13,6.50,3.38,1.75,3.25,0.50,0.88,0.25,0.50,0.13,3.25,6.35,0.48," $2,000,000","2 anos
6.35FPG "
Svi Mykhailiuk,15.86,6.68,5.77,1.09,1.59,0.23,1.32,0.68,0.64,0.14,0.86,6.34,0.40," $2,000,000","3 anos
6.34FPG "
Torrey Craig,11.82,3.00,2.73,0.00,2.27,0.82,1.00,0.36,0.64,0.45,1.36,6.31,0.53,0,0
Mason Jones,12.07,6.57,4.29,1.50,1.86,0.21,1.50,1.21,0.29,0.00,1.07,6.26,0.52,0,0
Mo Bamba,6.44,5.44,3.89,0.33,2.00,1.11,0.33,0.33,0.00,0.67,1.22,6.24,0.97," $4,500,000","2 anos
6.24FPG "
Avery Bradley,21.40,8.50,6.60,0.90,1.60,0.20,1.40,0.90,0.70,0.10,2.60,6.24,0.29," $4,000,000","1 anos
6.24FPG "
Cory Joseph,19.00,5.74,5.17,1.09,1.65,0.39,2.30,1.04,0.83,0.26,2.13,6.20,0.33," $1,000,000","1 anos
6.20FPG "
Drew Eubanks,12.88,4.00,3.88,1.25,2.63,0.38,0.38,0.38,0.13,1.63,1.13,6.16,0.48,0,0
JJ Redick,19.79,8.21,7.00,1.58,1.47,0.11,1.16,0.74,0.26,0.00,1.26,6.16,0.31," $4,000,000","2 anos
6.16FPG "
Ben McLemore,16.73,7.07,5.73,0.87,2.00,0.33,1.13,1.27,0.40,0.07,1.33,6.15,0.37," $1,000,000","1 anos
6.15FPG "
Javonte Green,16.46,4.77,3.62,1.46,1.62,1.15,0.62,0.62,0.77,0.08,1.00,5.98,0.36,0,0
Ed Davis,14.83,2.39,2.39,0.44,3.28,2.11,1.06,0.33,0.56,0.56,2.72,5.95,0.40," $1,000,000","2 anos
5.95FPG "
Markieff Morris,15.05,4.35,3.85,0.70,2.80,0.65,0.90,0.55,0.05,0.30,1.60,5.89,0.39," $1,500,000","3 anos
5.89FPG "
Yuta Watanabe,12.44,3.11,2.83,0.44,2.39,0.89,0.39,0.44,0.50,0.61,1.06,5.84,0.47,0,0
Justin Jackson,16.15,6.15,5.54,1.00,2.31,0.31,1.31,0.77,0.23,0.00,1.08,5.82,0.36," $3,000,000","1 anos
5.82FPG "
Brad Wanamaker,16.58,4.54,4.21,1.46,1.50,0.25,2.58,0.83,0.79,0.13,1.58,5.82,0.35," $1,000,000","1 anos
5.82FPG "
Semi Ojeleye,17.52,4.76,4.05,1.00,2.24,0.67,0.81,0.38,0.19,0.00,0.95,5.78,0.33," $2,500,000","1 anos
5.78FPG "
Terance Mann,13.70,3.70,3.40,0.75,2.25,0.95,1.00,0.65,0.50,0.20,1.35,5.78,0.42, $0,"1 anos
5.78FPG "
Dante Exum,19.33,3.83,4.33,0.33,2.50,0.33,2.17,1.17,0.67,0.33,1.50,5.77,0.30," $3,000,000","2 anos
5.77FPG "
Dakota Mathias,15.88,6.00,6.00,0.75,0.75,0.13,1.63,0.13,0.13,0.38,0.88,5.76,0.36,0,0
Landry Shamet,18.33,6.67,5.76,1.33,1.29,0.19,1.19,0.81,0.52,0.14,1.14,5.75,0.31," $1,000,000","2 anos
5.75FPG "
Ryan Arcidiacono,12.29,3.71,2.86,0.71,2.14,0.00,2.00,0.29,0.43,0.00,1.14,5.69,0.46," $1,000,000","1 anos
5.69FPG "
Harry Giles III,11.35,3.12,2.88,0.71,3.24,1.06,0.94,0.65,0.24,0.41,1.76,5.65,0.50," $2,500,000","1 anos
5.65FPG "
Onyeka Okongwu,11.17,3.50,2.83,1.33,2.50,0.83,0.33,0.50,0.33,1.00,1.83,5.62,0.50," $4,000,000","4 anos
5.62FPG "
Goga Bitadze,12.40,5.60,4.10,1.40,1.70,0.90,0.20,0.50,0.40,1.20,2.20,5.57,0.45," $3,000,000","3 anos
5.57FPG "
Nassir Little,11.44,5.00,3.22,1.00,1.22,1.11,0.22,0.56,0.22,0.44,0.89,5.54,0.48," $3,000,000","3 anos
5.54FPG "
Aleksej Pokusevski,17.59,3.29,5.47,0.00,3.24,0.29,1.24,1.29,0.47,1.12,0.94,5.53,0.31," $2,500,000","4 anos
5.53FPG "
Jake Layman,15.68,6.26,4.84,1.21,1.21,0.26,0.53,0.53,0.89,0.47,1.21,5.51,0.35," $1,000,000","1 anos
5.51FPG "
Wesley Matthews,20.00,5.33,4.17,0.56,0.83,0.33,1.00,0.17,0.44,0.28,1.44,5.49,0.27,0,0
Jaxson Hayes,12.94,4.44,2.83,1.33,2.50,1.28,0.50,0.72,0.33,0.39,1.94,5.46,0.42," $3,500,000","3 anos
5.46FPG "
Jerome Robinson,19.91,6.18,6.09,1.55,2.82,0.18,1.64,1.09,0.55,0.18,1.91,5.42,0.27,0,0
Josh Okogie,21.33,4.94,4.67,1.61,1.78,0.72,1.28,0.83,0.78,0.72,2.06,5.37,0.25," $2,000,000","2 anos
5.37FPG "
Matisse Thybulle,18.05,3.30,3.60,0.50,1.05,0.35,0.75,0.25,1.60,0.90,2.00,5.37,0.30, $0,"1 anos
5.37FPG "
Grant Williams,19.21,5.84,4.42,1.37,2.05,1.16,0.84,0.89,0.37,0.42,2.89,5.33,0.28," $1,000,000","3 anos
5.33FPG "
Aaron Holiday,20.33,6.79,7.38,0.79,1.08,0.25,2.00,0.83,0.54,0.13,1.83,5.33,0.26," $1,500,000","2 anos
5.33FPG "
Terence Davis,14.11,7.17,5.89,0.56,1.44,0.33,0.89,1.00,0.61,0.17,1.94,5.32,0.38, $0,"1 anos
5.32FPG "
Stanley Johnson,14.91,3.05,2.41,0.55,1.95,0.55,1.59,0.68,0.86,0.32,1.73,5.30,0.36,0,0
Kevin Knox II,18.25,6.05,5.50,0.60,1.80,0.40,0.80,0.75,0.35,0.30,1.55,5.23,0.29," $4,000,000","2 anos
5.23FPG "
Trey Lyles,10.92,2.83,2.33,0.92,2.50,0.50,0.58,0.00,0.00,0.00,0.25,5.21,0.48," $2,000,000","3 anos
5.21FPG "
Reggie Perry,10.86,3.57,3.57,0.64,2.50,1.21,0.86,0.79,0.14,0.36,1.93,5.19,0.48, $0,"2 anos
5.19FPG "
Solomon Hill,19.83,4.65,4.39,0.35,2.00,0.43,0.87,0.57,0.65,0.22,1.52,5.18,0.26,0,0
Obi Toppin,12.00,4.60,4.13,0.60,2.33,0.27,0.53,0.60,0.20,0.40,0.80,5.17,0.43," $4,500,000","4 anos
5.17FPG "
Glenn Robinson III,15.94,5.61,4.33,1.00,1.28,0.33,0.89,0.33,0.06,0.06,0.94,5.16,0.32," $5,000,000","1 anos
5.16FPG "
E'Twaun Moore,17.60,5.30,5.70,0.40,0.80,0.50,1.90,1.20,0.90,0.10,1.60,5.12,0.29,0,0
Mike Scott,19.50,4.88,5.50,0.38,2.25,0.50,0.13,0.38,0.25,0.25,1.25,5.05,0.26," $1,000,000","1 anos
5.05FPG "
Troy Brown Jr.,18.00,5.11,5.00,0.67,2.89,0.78,1.00,0.78,0.22,0.22,2.00,5.04,0.28," $2,000,000","2 anos
5.04FPG "
Gary Clark,21.38,3.43,3.86,0.33,2.38,1.19,0.76,0.57,0.38,0.24,1.14,5.03,0.24," $1,000,000","1 anos
5.03FPG "
Langston Galloway,12.20,5.20,3.55,0.80,1.00,0.20,0.65,0.35,0.15,0.00,0.65,5.02,0.41," $1,000,000","2 anos
5.02FPG "
Thon Maker,9.63,3.75,2.25,1.38,1.25,1.00,0.50,0.38,0.25,0.50,0.88,4.99,0.52,0,0
DeAndre' Bembry,12.20,3.33,2.53,0.27,1.13,0.33,1.53,0.67,0.73,0.27,1.20,4.98,0.41," $1,000,000","4 anos
4.98FPG "
Isaiah Joe,15.15,5.69,4.85,0.38,1.08,0.31,1.00,0.38,0.31,0.31,1.54,4.95,0.33, $0,"2 anos
4.95FPG "
Boban Marjanovic,7.33,4.33,3.60,0.87,2.00,1.33,0.07,0.20,0.00,0.00,0.80,4.91,0.67," $2,000,000","1 anos
4.91FPG "
Chimezie Metu,7.44,3.67,3.11,1.00,1.33,1.22,0.56,0.56,0.33,0.67,1.11,4.84,0.65,0,0
Jordan Poole,9.73,5.53,4.07,1.27,1.07,0.13,0.87,0.53,0.20,0.13,1.00,4.73,0.49," $1,500,000","2 anos
4.73FPG "
Chris Chiozza,11.33,4.00,4.44,1.22,0.78,0.33,2.33,0.89,0.44,0.22,0.78,4.68,0.41,0,0
JaKarr Sampson,10.20,3.60,3.00,1.00,2.00,0.60,0.00,0.20,0.20,0.40,1.00,4.66,0.46,0,0
Isaiah Hartenstein,9.43,4.00,3.21,1.64,1.50,1.71,0.64,0.86,0.43,0.64,2.14,4.63,0.49," $1,000,000","2 anos
4.63FPG "
Jaden McDaniels,17.67,4.89,4.94,0.61,2.78,0.72,0.89,0.78,0.33,0.72,2.61,4.62,0.26," $1,500,000","4 anos
4.62FPG "
Rodney Hood,18.39,4.56,5.33,0.17,1.56,0.11,1.33,0.83,0.78,0.11,1.33,4.59,0.25," $3,000,000","2 anos
4.59FPG "
Brandon Goodwin,13.67,4.33,4.78,1.11,1.17,0.11,2.00,0.56,0.44,0.00,1.06,4.57,0.33,0,0
Carsen Edwards,12.30,5.80,4.70,0.70,1.10,0.20,0.50,0.30,0.40,0.10,1.40,4.55,0.37,0,0
Kyle Guy,9.57,3.57,3.71,0.86,1.00,0.43,1.71,0.14,0.43,0.00,0.71,4.53,0.47,0,0
Georges Niang,12.38,4.46,4.54,0.13,1.96,0.25,0.63,0.71,0.29,0.08,1.33,4.49,0.36,0,0
Tremont Waters,11.75,2.88,3.25,0.75,0.63,0.25,3.38,1.75,0.63,0.00,0.75,4.39,0.37,0,0
Patrick Patterson,14.00,4.75,3.63,0.50,1.25,0.38,0.50,0.75,0.38,0.13,1.38,4.36,0.31,0,0
Cody Martin,10.00,2.71,2.07,0.57,1.36,0.57,1.00,0.43,0.36,0.00,0.57,4.30,0.43," $1,000,000","2 anos
4.30FPG "
Kenyon Martin Jr.,12.60,3.20,4.20,1.00,2.00,1.20,0.60,1.00,0.20,1.00,1.80,4.26,0.34, $0,"2 anos
4.26FPG "
D.J. Wilson,9.70,3.70,3.70,0.20,1.90,0.30,0.30,0.40,0.10,0.30,1.20,4.24,0.44," $2,000,000","1 anos
4.24FPG "
Jordan Bone,15.50,4.33,4.08,0.00,1.50,0.25,1.42,0.25,0.17,0.00,0.92,4.23,0.27,0,0
Moses Brown,4.71,3.00,1.43,2.00,1.57,0.57,0.43,0.14,0.14,0.57,0.57,4.23,0.90,0,0
Edmond Sumner,11.00,4.75,3.67,1.00,1.17,0.42,0.58,0.83,0.67,0.08,1.17,4.22,0.38,0,0
CJ Elleby,9.13,4.25,2.75,1.13,1.00,0.50,0.38,0.13,0.25,0.38,1.38,4.21,0.46,0,0
Jahlil Okafor,9.83,4.25,3.50,0.17,1.17,1.08,0.25,0.33,0.17,0.17,0.83,4.11,0.42," $1,500,000","4 anos
4.11FPG "
Jevon Carter,12.19,3.14,3.43,0.10,1.33,0.14,1.14,0.19,0.48,0.29,1.29,4.10,0.34," $5,000,000","1 anos
4.10FPG "
Jordan Nwora,8.60,5.10,3.70,1.00,1.40,0.10,0.00,1.00,0.40,0.20,0.90,4.08,0.47, $0,"2 anos
4.08FPG "
Darius Miller,10.50,3.00,2.00,0.50,1.33,0.00,1.00,0.33,0.50,0.17,0.67,3.98,0.38,0,0
Paul Reed,11.00,3.60,4.40,0.00,0.60,1.40,0.60,1.00,0.20,0.80,0.80,3.96,0.36, $0,"2 anos
3.96FPG "
Chris Silva,10.00,4.33,1.67,2.00,2.00,1.17,1.00,1.33,0.17,0.33,2.33,3.93,0.39,0,0
Daniel Oturu,5.11,2.22,1.67,0.22,1.00,0.56,0.44,0.22,0.00,0.33,0.67,3.74,0.73, $0,"2 anos
3.74FPG "
R.J. Hampton,9.50,1.75,1.88,0.25,2.00,0.75,0.63,0.75,0.38,0.13,0.63,3.70,0.39," $2,000,000","4 anos
3.70FPG "
Mychal Mulder,10.77,4.00,2.73,0.50,0.86,0.00,0.50,0.18,0.27,0.23,0.86,3.69,0.34,0,0
Cristiano Felicio,7.20,2.20,0.80,1.60,1.20,1.00,1.00,0.60,0.40,0.00,0.60,3.68,0.51,0,0
Max Strus,13.71,5.50,4.07,0.36,1.07,0.07,0.50,0.21,0.14,0.00,1.21,3.66,0.27," $1,000,000","1 anos
3.66FPG "
Kostas Antetokounmpo,9.00,0.00,2.00,0.00,4.00,0.00,0.00,2.00,0.00,2.00,1.00,3.60,0.40,0,0
Bruno Fernando,8.92,1.77,1.46,0.85,2.54,0.92,0.54,1.00,0.15,0.08,0.92,3.59,0.40," $3,500,000","3 anos
3.59FPG "
Isaac Bonga,18.17,3.25,2.83,0.25,2.42,0.67,0.75,0.58,0.33,0.33,2.08,3.55,0.20,0,0
Frank Ntilikina,11.00,4.50,3.50,0.75,0.75,0.25,0.75,0.50,0.75,0.00,1.75,3.43,0.31," $3,500,000","1 anos
3.43FPG "
Thanasis Antetokounmpo,9.50,2.50,1.63,0.44,1.13,0.81,0.94,0.94,0.31,0.19,1.56,3.42,0.36,0,0
Facundo Campazzo,12.05,3.65,3.05,0.85,0.60,0.15,1.60,0.75,0.75,0.10,1.80,3.41,0.28," $1,500,000","2 anos
3.41FPG "
Tony Snell,11.17,3.17,2.50,0.00,0.92,0.42,0.83,0.42,0.08,0.17,1.17,3.36,0.30,0,0
Meyers Leonard,10.67,3.33,2.33,0.67,2.33,0.00,0.67,0.67,0.00,0.00,1.67,3.27,0.31," $3,000,000","3 anos
3.27FPG "
Kira Lewis Jr.,10.27,4.09,4.36,0.91,0.55,0.00,1.36,0.27,0.27,0.09,0.82,3.26,0.32," $3,500,000","4 anos
3.26FPG "
Nico Mannion,6.17,1.50,2.17,0.67,1.33,0.00,2.00,0.33,0.33,0.00,0.83,3.23,0.52, $0,"2 anos
3.23FPG "
Taj Gibson,12.25,2.75,2.25,0.50,0.50,1.50,1.00,0.25,0.00,0.25,2.00,3.20,0.26,0,0
Tim Frazier,11.00,1.33,2.67,0.00,1.33,0.00,2.33,1.00,0.33,0.00,1.33,3.13,0.28," $1,000,000","1 anos
3.13FPG "
Sekou Doumbouya,13.50,4.14,4.32,1.05,1.91,0.50,0.59,0.73,0.41,0.09,1.59,3.12,0.23," $2,500,000","3 anos
3.12FPG "
Josh Green,13.63,2.63,2.25,0.69,1.63,0.69,0.63,0.69,0.25,0.06,1.00,3.10,0.23," $2,000,000","4 anos
3.10FPG "
Jalen Lecque,3.50,1.75,1.50,1.25,1.00,0.25,0.75,0.00,0.00,0.00,0.00,3.03,0.86,0,0
